scenario,reduction_pct,scenario_model,replacement_target,deaths_averted,deaths_averted_lo,deaths_averted_hi,yll_averted,yll_averted_lo,yll_averted_hi,pvle_averted_billion_intl_ppp,pvle_averted_billion_intl_ppp_lo,pvle_averted_billion_intl_ppp_hi,e30_gain_years,reduction,ghg_kg_co2eq_avoided_value,land_m2_avoided_value,water_l_avoided_value,eutro_g_po4eq_avoided_value,ghg_kg_co2eq_avoided_pct_of_baseline,land_m2_avoided_pct_of_baseline,water_l_avoided_pct_of_baseline,eutro_g_po4eq_avoided_pct_of_baseline
ndg_gapa_conservative,67.3102605491643,isoweight_replacement,NDG_ARG,6520.764494311971,3650.347504238727,9825.038976405136,232727.74499114975,130702.11578938572,349255.4273122875,0.5551270924496969,0.3138581596399137,0.8265226342300157,0.1849125690999358,0.6731026054916429,-6157919.13805648,-33271410.117751785,-395424092.72894055,-30911883.53863041,-5.779512495663989,-5.926996186551438,-10.0409743994866,-10.377184292328977
ndg_gapa_conservative,67.3102605491643,isoweight_replacement,NOVA1,6520.764494311971,3650.347504238727,9825.038976405136,232727.74499114975,130702.11578938572,349255.4273122875,0.5551270924496969,0.3138581596399137,0.8265226342300157,0.1849125690999358,0.6731026054916429,-5908367.524573236,-17071025.332310766,-509980481.2929186,-28405867.655617338,-5.545295930602901,-3.041046402513157,-12.949896202734015,-9.535909491813134
ndg_gapa_conservative,67.3102605491643,isoweight_replacement,NOVA1_NOVA3_mix,6520.764494311971,3650.347504238727,9825.038976405136,232727.74499114975,130702.11578938572,349255.4273122875,0.5551270924496969,0.3138581596399137,0.8265226342300157,0.1849125690999358,0.6731026054916429,-531468.6365459878,3676784.615552783,-125344537.56166202,-6255757.173900664,-0.4988096720835613,0.6549854159480059,-3.1828644635340426,-2.100070835233954
ndg_gapa_conservative,67.3102605491643,isoweight_replacement,NOVA3,6520.764494311971,3650.347504238727,9825.038976405136,232727.74499114975,130702.11578938572,349255.4273122875,0.5551270924496969,0.3138581596399137,0.8265226342300157,0.1849125690999358,0.6731026054916429,3173681.62264078,17973827.39183772,139703029.1280821,9007592.44479728,2.978657592619937,3.2018722991339947,3.5474685655215703,3.023867721067151
ndg_gapa_conservative,67.3102605491643,no_replacement,none,6520.764494311971,3650.347504238727,9825.038976405136,232727.74499114975,130702.11578938572,349255.4273122875,0.5551270924496969,0.3138581596399137,0.8265226342300157,0.1849125690999358,0.6731026054916429,7137267.8851143,34193646.08170683,535131041.42310447,32526604.188808113,6.69867986281132,6.09128405478777,13.588542494256409,10.919249409344026
ndg_gapa_central,78.20684036610953,isocaloric_replacement,NDG_ARG,7646.130353727429,4343.319163861635,11309.050758091473,272580.23220994876,155172.3207785303,401904.9065352422,0.6511968391851938,0.3723704296346456,0.9537739773550764,0.2165567201644691,0.7820684036610953,19580.61969702039,6961517.4689774215,-960034944.9487156,-6389275.752852708,0.01837738263115461,1.240130410620194,-24.378095523507955,-2.144893302894449
ndg_gapa_central,78.20684036610953,isocaloric_replacement,NOVA1,7646.130353727429,4343.319163861635,11309.050758091473,272580.23220994876,155172.3207785303,401904.9065352422,0.6511968391851938,0.3723704296346456,0.9537739773550764,0.2165567201644691,0.7820684036610953,-8681941.186781652,-26975105.182106845,-738109966.3415548,-41491500.93125056,-8.148432360133432,-4.805367280206358,-18.74277114703244,-13.928784093368227
ndg_gapa_central,78.20684036610953,isocaloric_replacement,NOVA1_NOVA3_mix,7646.130353727429,4343.319163861635,11309.050758091473,272580.23220994876,155172.3207785303,401904.9065352422,0.6511968391851938,0.3723704296346456,0.9537739773550764,0.2165567201644691,0.7820684036610953,119754.1903209556,7409537.307195421,-57514024.01759386,-1957431.187381156,0.1123952464868723,1.319941030705716,-1.460449308454217,-0.6571137648607538
ndg_gapa_central,78.20684036610953,isocaloric_replacement,NOVA3,7646.130353727429,4343.319163861635,11309.050758091473,272580.23220994876,155172.3207785303,401904.9065352422,0.6511968391851938,0.3723704296346456,0.9537739773550764,0.2165567201644691,0.7820684036610953,6184886.636901094,31103541.91549578,411475682.6176164,25284975.97120837,5.804822830706556,5.540810373499229,10.448571220486922,8.488219592068395
ndg_gapa_central,78.20684036610953,isoweight_replacement,NDG_ARG,7646.130353727429,4343.319163861635,11309.050758091473,272580.23220994876,155172.3207785303,401904.9065352422,0.6511968391851938,0.3723704296346456,0.9537739773550764,0.2165567201644691,0.7820684036610953,-7154799.210227887,-38657581.1563499,-459437664.4015221,-35916080.573713556,-6.715133880846949,-6.886493096748582,-11.666466235222304,-12.05710375771154
ndg_gapa_central,78.20684036610953,isoweight_replacement,NOVA1,7646.130353727429,4343.319163861635,11309.050758091473,272580.23220994876,155172.3207785303,401904.9065352422,0.6511968391851938,0.3723704296346456,0.9537739773550764,0.2165567201644691,0.7820684036610953,-6864848.717694377,-19834583.051044457,-592539113.1293458,-33004376.13937123,-6.443000964328943,-3.533348832806309,-15.046301363596218,-11.079638457604483
ndg_gapa_central,78.20684036610953,isoweight_replacement,NOVA1_NOVA3_mix,7646.130353727429,4343.319163861635,11309.050758091473,272580.23220994876,155172.3207785303,401904.9065352422,0.6511968391851938,0.3723704296346456,0.9537739773550764,0.2165567201644691,0.7820684036610953,-617505.8970034262,4272004.076987244,-145636046.56809533,-7268475.841228455,-0.5795599077976669,0.7610182971994373,-3.698125233444223,-2.440042620971599
ndg_gapa_central,78.20684036610953,isoweight_replacement,NOVA3,7646.130353727429,4343.319163861635,11309.050758091473,272580.23220994876,155172.3207785303,401904.9065352422,0.6511968391851938,0.3723704296346456,0.9537739773550764,0.2165567201644691,0.7820684036610953,3687455.8204009896,20883536.00376773,162318974.97561413,10465794.34793143,3.460860156397356,3.720210168970284,4.121753586214302,3.5133891656383787
ndg_gapa_central,78.20684036610953,no_replacement,none,7646.130353727429,4343.319163861635,11309.050758091473,272580.23220994876,155172.3207785303,401904.9065352422,0.6511968391851938,0.3723704296346456,0.9537739773550764,0.2165567201644691,0.7820684036610953,8292690.677279283,39729114.087948576,621761193.4655672,37792201.67462759,7.783101453186424,7.077376848800951,15.788335463063383,12.686921555600884
ndg_gapa_strict,89.10342018305477,isocaloric_replacement,NDG_ARG,8746.972376505866,5021.280643486814,12760.505236769668,311567.27497823135,179135.7276595142,453493.4756783882,0.7451276126914643,0.42983411865727433,1.0793122479046058,0.24755635776183735,0.8910342018305477,22308.792634261772,7931467.544861622,-1093796868.531343,-7279495.238610148,0.02093790822878292,1.412918109745806,-27.77470204045058,-2.443741855839553
ndg_gapa_strict,89.10342018305477,isocaloric_replacement,NOVA1,8746.972376505866,5021.280643486814,12760.505236769668,311567.27497823135,179135.7276595142,453493.4756783882,0.7451276126914643,0.42983411865727433,1.0793122479046058,0.24755635776183735,0.8910342018305477,-9891598.355706047,-30733553.74378401,-840951023.7768432,-47272522.763941176,-9.283755602697898,-5.474900378249741,-21.354206423516004,-15.869485276485648
ndg_gapa_strict,89.10342018305477,isocaloric_replacement,NOVA1_NOVA3_mix,8746.972376505866,5021.280643486814,12760.505236769668,311567.27497823135,179135.7276595142,453493.4756783882,0.7451276126914643,0.42983411865727433,1.0793122479046058,0.24755635776183735,0.8910342018305477,136439.57342986765,8441910.106000833,-65527468.24277437,-2230160.594036989,0.1280553059990103,1.5038487647020704,-1.6639340980669424,-0.7486696000549526
ndg_gapa_strict,89.10342018305477,isocaloric_replacement,NOVA3,8746.972376505866,5021.280643486814,12760.505236769668,311567.27497823135,179135.7276595142,453493.4756783882,0.7451276126914643,0.42983411865727433,1.0793122479046058,0.24755635776183735,0.8910342018305477,7046628.532907363,35437206.6625346,468806698.6436501,28807938.38152982,6.613610335762575,6.312812952848492,11.904373420704829,9.670885479805914
ndg_gapa_strict,89.10342018305477,isoweight_replacement,NDG_ARG,8746.972376505866,5021.280643486814,12760.505236769668,311567.27497823135,179135.7276595142,453493.4756783882,0.7451276126914643,0.42983411865727433,1.0793122479046058,0.24755635776183735,0.8910342018305477,-8151679.282399293,-44043752.19494802,-523451236.0741035,-40920277.60879671,-7.6507552660299085,-7.845990006945726,-13.29195807095801,-13.737023223094106
ndg_gapa_strict,89.10342018305477,isoweight_replacement,NOVA1,8746.972376505866,5021.280643486814,12760.505236769668,311567.27497823135,179135.7276595142,453493.4756783882,0.7451276126914643,0.42983411865727433,1.0793122479046058,0.24755635776183735,0.8910342018305477,-7821329.910815518,-22598140.769778147,-675097744.965773,-37602884.62312514,-7.340705998054986,-4.025651263099461,-17.142706524458422,-12.623367423395834
ndg_gapa_strict,89.10342018305477,isoweight_replacement,NOVA1_NOVA3_mix,8746.972376505866,5021.280643486814,12760.505236769668,311567.27497823135,179135.7276595142,453493.4756783882,0.7451276126914643,0.42983411865727433,1.0793122479046058,0.24755635776183735,0.8910342018305477,-703543.1574608628,4867223.538421705,-165927555.5745288,-8281194.508556262,-0.6603101435117705,0.8670511784508689,-4.213386003354408,-2.780014406709249
ndg_gapa_strict,89.10342018305477,isoweight_replacement,NOVA3,8746.972376505866,5021.280643486814,12760.505236769668,311567.27497823135,179135.7276595142,453493.4756783882,0.7451276126914643,0.42983411865727433,1.0793122479046058,0.24755635776183735,0.8910342018305477,4201230.018161199,23793244.61569774,184934920.82314616,11923996.251065567,3.943062720174776,4.238548038806575,4.696038606907035,4.002910610209602
