codigo,descripcion,kcal_100g
Q002,"Queso blanco semidescremado, untable",128.0
Q042,Queso Cheddar,410.0
Q023,Queso Chubut,337.0
Q001,"Queso crema entero, untable",245.0
Q050,Queso Cremoso,310.0
Q017,Queso Cuartirolo,280.0
Q045,Queso de cabra,355.0
Q021,Queso de máquina,356.0
Q034,Queso en hebras,381.0
Q035,Queso en hebras light,277.0
Q024,Queso Fontina,389.0
Q051,Queso Fontina fundido light,198.0
Q047,Queso fresco sin sal,224.0
Q005,Queso fundido,303.0
Q025,Queso Gruyére,407.0
Q026,Queso Holanda,356.0
Q027,Queso Mar del Plata,332.0
Q044,Queso Mascarpone,357.0
Q019,Queso Muzzarella,278.0
Q037,Queso Parmesano,350.0
Q015,Queso pasta blanda descremado,207.0
Q016,Queso pasta blanda doble crema,357.0
Q007,Queso de máquina,356.0
Q046,Queso porsalut sin sal light,225.0
Q038,Queso Provolone,350.0
Q032,Queso rallado envasado,420.0
Q039,Queso Reggianito,381.0
Q029,Queso Roquefort,370.0
Q040,Queso Sardo,384.0
Q041,Queso Sbrinz,350.0
Q000,"Queso untable, PROMEDIO",208.0
Q013,Queso untable tipo Finlandia,284.0
Q014,Queso untable tipo Finlandia light,195.0
Q011,Queso untable tipo Tholem,284.0
Q012,Queso untable tipo Tholem light,128.0
Q004,Ricota,169.0
Q010,Ricota descremada,137.0
C094,Bondiola (fiambre),264.0
C123,Butifarra,296.0
C001,"Leche de cabra, entera, en polvo",526.0
C121,Cantimpalo (fiambre),372.0
C074,"Vacuno, cortes semigrasos, (ej: lomo, carne picada especial, roast beef, paleta, bife angosto, tortuguita, palomita), PROMEDIO, horno/parrilla",225.0
C050,"Carpincho, crudo",206.0
C002,"Cerdo, PROMEDIO, crudo",206.0
C007,"Chinchulines, tripa gorda, crudos",216.0
C110,"Chivito, crudo",103.0
C003,"Chorizo, crudo",296.0
C095,Chorizo seco,425.0
C008,"Conejo, crudo",130.0
C107,"Corazón, vacuno, crudo",107.0
C009,"Cordero, PROMEDIO, crudo",224.0
C052,Cuerito de cerdo,514.0
C051,Fiambre de cerdo,155.0
C118,Hamburguesa de carne vacuna (carnicería),209.0
C113,Hamburguesa de pollo (pollería / granja),208.0
